,Date,Open,High,Close,Adjusted Close,Volume,Dividends
0,2018-05-10,106.32,108.92,108.75,100.77912500581,1517801.0,0.0
1,2018-05-11,108.59,108.67,108.37,100.426977258663,1065483.0,0.0
2,2018-05-14,108.43,109.34,107.38,99.5095397068861,1239310.0,0.0
3,2018-05-15,107.02,108.06,107.98,100.065562465539,1145615.0,0.0
4,2018-05-16,107.92,108.35,107.3,99.4354033390657,968471.0,0.0
5,2018-05-17,106.65,107.0,106.25,98.4623635114234,1121982.0,0.0
6,2018-05-18,106.12,106.97,106.41,98.6106362470641,2433443.0,0.0
7,2018-05-21,107.11,108.48,108.38,100.436244304641,1337648.0,0.0
8,2018-05-22,109.0,109.79,109.31,101.298079580552,1964399.0,0.0
9,2018-05-23,108.63,110.85,110.84,102.715937615117,1282737.0,0.0
10,2018-05-24,110.43,111.07,110.86,102.734471707072,1344975.0,0.0
11,2018-05-25,111.1,111.52,110.57,102.465727373723,907480.0,0.0
12,2018-05-29,110.06,110.43,109.68,101.640960281722,1297994.0,0.0
13,2018-05-30,109.8,110.65,109.47,101.446352316193,1063260.0,0.0
14,2018-05-31,109.9,109.9,107.34,99.4724715229759,3675824.0,0.0
15,2018-06-01,108.02,109.15,109.11,101.112738661001,819320.0,0.0
16,2018-06-04,109.16,110.02,109.91,101.854102339205,646364.0,0.0
17,2018-06-05,109.99,112.43,112.34,104.105994511749,1342261.0,0.0
18,2018-06-06,112.29,113.6,113.58,105.255108212964,1660722.0,0.0
19,2018-06-07,113.66,113.69,112.22,103.994789960018,1378736.0,0.0
20,2018-06-08,112.23,112.92,112.3,104.068926327839,789790.0,0.0
21,2018-06-11,112.22,112.9,112.51,104.263534293367,732903.0,0.0
22,2018-06-12,112.9,113.36,113.28,104.977096833638,695219.0,0.0
23,2018-06-13,113.62,114.46,113.63,105.301443442852,702907.0,0.0
24,2018-06-14,113.33,114.45,113.9,106.033540075078,822326.0,0.52
25,2018-06-15,113.68,114.7,114.52,106.610720012274,1693764.0,0.0
26,2018-06-18,113.61,115.58,115.5,107.523036687195,889232.0,0.0
27,2018-06-19,114.55,115.88,115.8,107.802317301967,1051263.0,0.0
28,2018-06-20,115.94,116.68,115.97,107.960576317005,730155.0,0.0
29,2018-06-21,116.64,117.62,117.05,108.965986530184,849954.0,0.0
30,2018-06-22,117.24,118.37,117.71,109.580403882682,1749534.0,0.0
31,2018-06-25,117.62,117.88,116.05,108.03505114761,1072347.0,0.0
32,2018-06-26,115.98,116.4,115.48,107.504417979544,1155843.0,0.0
33,2018-06-27,115.78,116.03,115.41,107.439252502764,1125350.0,0.0
34,2018-06-28,115.0,117.36,117.11,109.021842653138,976665.0,0.0
35,2018-06-29,117.45,117.85,116.37,108.332950470034,1374288.0,0.0
36,2018-07-02,115.87,116.55,116.51,108.463281423594,871839.0,0.0
37,2018-07-03,116.97,117.67,115.9,107.895410840225,648856.0,0.0
38,2018-07-05,116.5,117.65,117.48,109.36628874469,1019008.0,0.0
39,2018-07-06,117.33,118.78,118.41,110.232058650483,818717.0,0.0
40,2018-07-09,118.73,118.78,118.3,110.1296557584,934809.0,0.0
41,2018-07-10,119.26,119.65,118.64,110.446173788475,1047451.0,0.0
42,2018-07-11,119.15,121.3,120.32,112.010145231198,2776801.0,0.0
