,Date,Adjusted Close
1256,2018-05-11,55.169
1255,2018-05-14,55.33
1254,2018-05-15,54.2435
1253,2018-05-16,54.2045
1252,2018-05-17,54.063
1251,2018-05-18,53.482
1250,2018-05-21,54.2005
1249,2018-05-22,53.7655
1248,2018-05-23,54.298
1247,2018-05-24,54.2725
1246,2018-05-25,54.204
1245,2018-05-29,53.4035
1244,2018-05-30,53.8735
1243,2018-05-31,55.0
1242,2018-06-01,56.75
1241,2018-06-04,57.652
1240,2018-06-05,57.551
1239,2018-06-06,57.3475
1238,2018-06-07,56.721
1237,2018-06-08,56.6355
1236,2018-06-11,57.045
1235,2018-06-12,57.4095
1234,2018-06-13,57.2115
1233,2018-06-14,58.0055
1232,2018-06-15,57.9635
1231,2018-06-18,59.179
1230,2018-06-19,58.9345
1229,2018-06-20,59.2035
1228,2018-06-21,58.472
1227,2018-06-22,58.4645
1226,2018-06-25,56.964
1225,2018-06-26,56.631
1224,2018-06-27,55.847
1223,2018-06-28,56.339
1222,2018-06-29,56.4595
1221,2018-07-02,57.1055
1220,2018-07-03,55.814
1219,2018-07-05,57.0645
1218,2018-07-06,57.754
1217,2018-07-09,58.364
1216,2018-07-10,58.357
1215,2018-07-11,58.573
1214,2018-07-12,60.063
1213,2018-07-13,60.221
1212,2018-07-16,59.8255
1211,2018-07-17,60.654
1210,2018-07-18,60.6455
1209,2018-07-19,59.955
1208,2018-07-20,59.894
1207,2018-07-23,60.55
1206,2018-07-24,62.9075
1205,2018-07-25,63.797
1204,2018-07-26,64.275
1203,2018-07-27,62.6445
1202,2018-07-30,61.502
1201,2018-07-31,61.361
1200,2018-08-01,61.6495
1199,2018-08-02,62.0565
1198,2018-08-03,61.908
1197,2018-08-06,61.8835
1196,2018-08-07,62.792
1195,2018-08-08,63.0665
1194,2018-08-09,63.223
1193,2018-08-10,62.6255
1192,2018-08-13,62.432
1191,2018-08-14,62.907
1190,2018-08-15,61.611
1189,2018-08-16,61.203
1188,2018-08-17,60.7925
1187,2018-08-20,61.0975
1186,2018-08-21,60.8705
1185,2018-08-22,61.0875
1184,2018-08-23,61.058
1183,2018-08-24,61.8375
1182,2018-08-27,62.8135
1181,2018-08-28,62.293
1180,2018-08-29,63.2325
1179,2018-08-30,62.722
1178,2018-08-31,61.59
1177,2018-09-04,60.5655
1176,2018-09-05,59.955
1175,2018-09-06,59.1995
1174,2018-09-07,58.8795
1173,2018-09-10,58.753
1172,2018-09-11,59.4995
1171,2018-09-12,58.58
1170,2018-09-13,59.107
1169,2018-09-14,58.899
1168,2018-09-17,57.9915
1167,2018-09-18,58.3555
1166,2018-09-19,58.7135
1165,2018-09-20,59.5785
1164,2018-09-21,58.606
1163,2018-09-24,58.978
1162,2018-09-25,59.6945
1161,2018-09-26,59.703
1160,2018-09-27,60.368
1159,2018-09-28,60.354
1158,2018-10-01,60.4265
1157,2018-10-02,60.382
1156,2018-10-03,60.5765
1155,2018-10-04,58.8535
1154,2018-10-05,58.3915
1153,2018-10-08,57.796
1152,2018-10-09,57.2585
1151,2018-10-10,54.608
1150,2018-10-11,54.537
1149,2018-10-12,56.027
1148,2018-10-15,55.122
1147,2018-10-16,56.654
1146,2018-10-17,56.3795
1145,2018-10-18,54.8955
1144,2018-10-19,55.259
1143,2018-10-22,55.5685
1142,2018-10-23,55.7455
1141,2018-10-24,52.856
1140,2018-10-25,55.1795
1139,2018-10-26,54.1875
1138,2018-10-29,51.7365
1137,2018-10-30,52.4755
1136,2018-10-31,54.529
1135,2018-11-01,54.299
1134,2018-11-02,53.5745
1133,2018-11-05,52.7865
1132,2018-11-06,53.4785
1131,2018-11-07,55.412
1130,2018-11-08,54.7315
1129,2018-11-09,53.851
1128,2018-11-12,52.468
1127,2018-11-13,52.3985
1126,2018-11-14,52.729
1125,2018-11-15,53.5525
1124,2018-11-16,53.4135
1123,2018-11-19,51.371
1122,2018-11-20,51.5225
1121,2018-11-21,52.1715
1120,2018-11-23,51.505
1119,2018-11-26,52.797
1118,2018-11-27,52.614
1117,2018-11-28,54.5895
1116,2018-11-29,54.729
1115,2018-11-30,55.4825
1114,2018-12-03,55.818
1113,2018-12-04,53.1235
1112,2018-12-06,53.904
1111,2018-12-07,52.329
1110,2018-12-10,52.659
1109,2018-12-11,53.0825
1108,2018-12-12,53.6865
1107,2018-12-13,53.677
1106,2018-12-14,52.5855
1105,2018-12-17,51.2825
1104,2018-12-18,52.1705
1103,2018-12-19,51.773
1102,2018-12-20,51.179
1101,2018-12-21,49.5625
1100,2018-12-24,49.2335
1099,2018-12-26,52.3925
1098,2018-12-27,52.645
1097,2018-12-28,52.334
1096,2018-12-31,52.248
1095,2019-01-02,52.734
1094,2019-01-03,51.2735
1093,2019-01-04,53.9035
1092,2019-01-07,53.796
1091,2019-01-08,54.2685
1090,2019-01-09,54.0825
1089,2019-01-10,53.9415
1088,2019-01-11,53.2235
1087,2019-01-14,52.5755
1086,2019-01-15,54.3255
1085,2019-01-16,54.4755
1084,2019-01-17,54.956
1083,2019-01-18,55.365
1082,2019-01-22,53.9315
